producto_id,nombre,descripcion,precio
1,Margherita,"Pizza clásica con tomate, mozzarella y albahaca.",157.8
2,Pepperoni,"Pizza con pepperoni, mozzarella y salsa de tomate.",376.74
3,Hawaiana,"Pizza con jamón, piña y mozzarella.",373.73
4,Cuatro Quesos,"Pizza con una mezcla de mozzarella, gorgonzola, parmesano y queso azul.",224.98
5,Vegetariana,Pizza con una variedad de verduras frescas y mozzarella.,331.37
6,Barbacoa,"Pizza con salsa barbacoa, pollo, cebolla y mozzarella.",253.04
7,Pollo y Champiñones,"Pizza con pollo, champiñones, mozzarella y salsa de tomate.",261.29
8,Mexicana,"Pizza con jalapeños, chorizo, frijoles y mozzarella.",160.78
9,Carbonara,"Pizza con crema, panceta, cebolla y mozzarella.",346.8
10,Prosciutto,"Pizza con jamón crudo, rúcula y mozzarella.",280.28
